Date,Open,High,Low,Close,Adj Close,Volume
2015-02-17,31.872499,32.220001,31.730000,31.957500,29.226589,252609600
2015-02-18,31.907499,32.195000,31.862499,32.180000,29.430077,179566800
2015-02-19,32.119999,32.257500,32.082500,32.112499,29.368343,149449600
2015-02-20,32.154999,32.375000,32.012501,32.375000,29.608412,195793600
2015-02-23,32.505001,33.250000,32.415001,33.250000,30.408634,283896400
2015-02-24,33.235001,33.400002,32.792500,33.042500,30.218872,276912400
2015-02-25,32.889999,32.900002,32.037498,32.197498,29.446074,298846800
2015-02-26,32.197498,32.717499,31.652500,32.605000,29.818758,365150000
2015-02-27,32.500000,32.642502,32.060001,32.115002,29.370628,248059200
2015-03-02,32.312500,32.570000,32.075001,32.272499,29.514669,192386800
2015-03-03,32.240002,32.380001,32.022499,32.340000,29.576406,151265200
2015-03-04,32.275002,32.389999,32.080002,32.134998,29.388918,126665200
2015-03-05,32.145000,32.187500,31.440001,31.602501,28.901926,226068400
2015-03-06,32.099998,32.342499,31.565001,31.650000,28.945364,291368400
2015-03-09,31.990000,32.392502,31.264999,31.785000,29.068830,354114000
2015-03-10,31.602501,31.805000,30.950001,31.127501,28.467516,275426400
2015-03-11,31.187500,31.192499,30.527500,30.559999,27.948511,275756000
2015-03-12,30.577499,31.225000,30.407499,31.112499,28.453798,193450800
2015-03-13,31.100000,31.350000,30.645000,30.897499,28.257170,207309200
2015-03-16,30.969999,31.237499,30.717501,31.237499,28.568111,143497200
2015-03-17,31.475000,31.830000,31.412500,31.760000,29.045965,204092400
2015-03-18,31.750000,32.290001,31.592501,32.117500,29.372917,261083600
2015-03-19,32.187500,32.312500,31.850000,31.875000,29.151140,183238000
2015-03-20,32.062500,32.099998,31.290001,31.475000,28.785318,274780400
2015-03-23,31.780001,31.962500,31.629999,31.802500,29.084835,150838800
2015-03-24,31.807501,32.009998,31.639999,31.672501,28.965940,131369200
2015-03-25,31.635000,31.705000,30.844999,30.844999,28.209152,206620800
2015-03-26,30.690001,31.219999,30.650000,31.059999,28.405781,190291600
2015-03-27,31.142500,31.174999,30.727501,30.812500,28.179434,158184800
2015-03-30,31.012501,31.600000,31.000000,31.592501,28.892780,188398800
2015-03-31,31.522499,31.622499,31.090000,31.107500,28.449223,168362400
2015-04-01,31.205000,31.280001,30.775000,31.062500,28.408072,162485600
2015-04-02,31.257500,31.389999,31.047501,31.330000,28.652708,128880400
2015-04-06,31.117500,31.877501,31.082500,31.837500,29.116844,148776000
2015-04-07,31.910000,32.029999,31.495001,31.502501,28.810469,140049200
2015-04-08,31.462500,31.600000,31.242500,31.400000,28.716732,149316800
2015-04-09,31.462500,31.645000,31.165001,31.639999,28.936214,129936000
2015-04-10,31.487499,31.802500,31.315001,31.775000,29.059681,160752000
2015-04-13,32.092499,32.142502,31.652500,31.712500,29.002523,145460400
2015-04-14,31.750000,31.822500,31.477501,31.575001,28.876772,102098400
2015-04-15,31.602501,31.782499,31.502501,31.695000,28.986515,115881600
2015-04-16,31.570000,31.775000,31.527500,31.542500,28.847050,113476000
2015-04-17,31.387501,31.535000,31.115000,31.187500,28.522385,207828000
2015-04-20,31.392500,32.029999,31.292500,31.900000,29.174000,188217200
2015-04-21,32.025002,32.049999,31.667500,31.727501,29.016245,129740400
2015-04-22,31.747499,32.217499,31.580000,32.154999,29.407215,150618000
2015-04-23,32.075001,32.605000,32.035000,32.417500,29.647282,183083600
2015-04-24,32.622501,32.657501,32.307499,32.570000,29.786747,178103600
2015-04-27,33.077499,33.282501,32.787498,33.162498,30.328609,387816800
2015-04-28,33.615002,33.634998,32.392502,32.639999,29.850761,475696000
2015-04-29,32.540001,32.897499,32.075001,32.160000,29.411785,253544400
2015-04-30,32.160000,32.160000,31.145000,31.287500,28.613842,332781600
2015-05-01,31.525000,32.532501,31.325001,32.237499,29.482658,234050400
2015-05-04,32.375000,32.642502,32.064999,32.174999,29.425501,203953200
2015-05-05,32.037498,32.112499,31.445000,31.450001,28.762459,197085600
2015-05-06,31.639999,31.687500,30.840000,31.252501,28.581835,288564000
2015-05-07,31.192499,31.520000,31.004999,31.315001,28.758619,175763600
2015-05-08,31.670000,31.905001,31.527500,31.905001,29.300459,222201600
2015-05-11,31.847500,31.889999,31.407499,31.580000,29.001987,168143200
2015-05-12,31.400000,31.719999,31.205000,31.467501,28.898676,192640000
2015-05-13,31.537500,31.797501,31.467501,31.502501,28.930809,138776800
2015-05-14,31.852501,32.237499,31.790001,32.237499,29.605806,180814000
2015-05-15,32.267502,32.372501,32.052502,32.192501,29.564487,152832000
2015-05-18,32.095001,32.680000,32.090000,32.547501,29.890507,203531600
2015-05-19,32.672501,32.720001,32.410000,32.517502,29.862959,178532800
2015-05-20,32.500000,32.744999,32.334999,32.514999,29.860655,145819600
2015-05-21,32.517502,32.907501,32.457500,32.847500,30.166021,158921600
2015-05-22,32.900002,33.242500,32.849998,33.134998,30.430048,182384000
2015-05-26,33.150002,33.227501,32.279999,32.404999,29.759630,282790400
2015-05-27,32.584999,33.064999,32.512501,33.009998,30.315250,183332800
2015-05-28,32.965000,32.987499,32.775002,32.945000,30.255547,122933200
2015-05-29,32.807499,32.862499,32.474998,32.570000,29.911171,203538000
2015-06-01,32.570000,32.847500,32.512501,32.634998,29.970865,128451200
2015-06-02,32.465000,32.665001,32.330002,32.490002,29.837704,134670400
2015-06-03,32.665001,32.735001,32.474998,32.529999,29.874434,123934000
2015-06-04,32.395000,32.645000,32.227501,32.340000,29.699947,153800400
2015-06-05,32.375000,32.422501,32.090000,32.162498,29.536934,142507200
2015-06-08,32.224998,32.302502,31.707500,31.950001,29.341784,210699200
2015-06-09,31.674999,32.020000,31.405001,31.855000,29.254536,224301600
2015-06-10,31.980000,32.334999,31.962500,32.220001,29.589737,156349200
2015-06-11,32.294998,32.544998,32.119999,32.147499,29.523157,141563600
2015-06-12,32.047501,32.082500,31.777500,31.792500,29.197142,147544800
2015-06-15,31.525000,31.809999,31.427500,31.730000,29.139742,175955600
2015-06-16,31.757500,31.962500,31.592501,31.900000,29.295862,125976400
2015-06-17,31.930000,31.969999,31.684999,31.825001,29.226982,131672400
2015-06-18,31.807501,32.077499,31.805000,31.969999,29.360151,141628800
2015-06-19,31.927500,31.955000,31.600000,31.650000,29.066267,218867600
2015-06-22,31.872499,32.014999,31.770000,31.902500,29.298157,136157200
2015-06-23,31.870001,31.902500,31.719999,31.757500,29.164993,121075600
2015-06-24,31.802500,32.450001,31.780001,32.027500,29.412956,221123600
2015-06-25,32.215000,32.299999,31.875000,31.875000,29.272903,127752400
2015-06-26,31.917500,31.997499,31.627501,31.687500,29.100710,176267200
2015-06-29,31.365000,31.617500,31.120001,31.132500,28.591017,196645600
2015-06-30,31.392500,31.530001,31.215000,31.357500,28.797649,177482800
2015-07-01,31.725000,31.735001,31.497499,31.650000,29.066267,120955200
2015-07-02,31.607500,31.672501,31.442499,31.610001,29.029537,108844000
2015-07-06,31.235001,31.557501,31.212500,31.500000,28.928514,112241600
2015-07-07,31.472500,31.537500,30.942499,31.422501,28.857349,187787200
